"Invoice (notify Customer)","Rechnung erzeugen (Kunden benachrichtigen)"
"Invoice (don't notify Customer)","Rechnung erzeugen (Kunden nicht benachrichtigen)"
"Invoice / Print (notify Customer)","Rechnung erzeugen / Drucken (Kunden benachrichtigen)"
"Invoice / Print (don't notify Customer)","Rechnung erzeugen / Drucken (Kunden nicht benachrichtigen)"
"Ship (notify Customer)","Sendung erzeugen (Kunden benachrichtigen)"
"Ship (don't notify Customer)","Sendung erzeugen (Kunden nicht benachrichtigen)"
"Ship / Print (notify Customer)","Sendung erzeugen / Drucken (Kunden benachrichtigen)"
"Ship / Print (don't notify Customer)","Sendung erzeugen / Drucken (Kunden nicht benachrichtigen)"
"Invoice / Ship (notify Customer)","Rechnung und Sendung erzeugen (Kunden benachrichtigen)"
"Invoice / Ship (don't notify Customer)","Rechnung und Sendung erzeugen (Kunden nicht benachrichtigen)"
"Invoice / Ship / Print (notify Customer)","Rechnung und Sendung erzeugen / Drucken (Kunden benachrichtigen)"
"Invoice / Ship / Print (don't notify Customer)","Rechnung und Sendung erzeugen / Drucken (Kunden nicht benachrichtigen)"
"Invoice / Ship / Complete (notify Customer)","Rechnung und Sendung erzeugen / Bestellung vervollständigen (Kunden benachrichtigen)"
"Invoice / Ship / Complete (don't notify Customer)","Rechnung und Sendung erzeugen / Bestellung vervollständigen (Kunden nicht benachrichtigen)"
"Invoice / Ship / Complete / Print (notify Customer)","Rechnung und Sendung erzeugen / Drucken / Bestellung vervollständigen (Kunden benachrichtigen)"
"Invoice / Ship / Complete / Print (don't notify Customer)","Rechnung und Sendung erzeugen / Drucken / Bestellung vervollständigen (Kunden nicht benachrichtigen)"
"Complete Order","Bestellung vervollständigen"
"Set Order Status to '%s'","Bestellstatus auf '%s' setzen"
"Delete Order (canceled-only)","Bestellung löschen (nur abgebrochene)"
